index,title,certificate,genre,runtime,rating
2981,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
2982,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
2983,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
2984,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
2985,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
2986,Pleasure,R,Drama,109 min,6.4
2987,The Last Duel,A,"Action, Drama, History",152 min,7.4
2988,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
2989,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
2990,The Power of the Dog,16,"Drama, Western",126 min,6.8
2991,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
2992,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
2993,Pig,R,"Drama, Mystery",92 min,6.9
2994,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
2995,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
2996,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
2997,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
2998,Silent Hours,None,"Crime, Thriller",156 min,5.2
2999,Boiling Point,R,"Drama, Thriller",92 min,7.5
3000,The Road Dance,None,Drama,116 min,7
3001,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
3002,Nobody,A,"Action, Crime, Drama",92 min,7.4
3003,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
3004,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
